ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
1,Servicio,No Aplica,No Aplica,Acceder Acuerdo Trade,No Aplica,Captaciones,Financiación y consumo,Captaciones,,"AW0718001 _x000D_
AW0504001 _x000D_
AW0360",,
2,Servicio,No Aplica,No Aplica,Acceder Negociaciones De Divisas,No Aplica,Tesoreria,Tesoreria,No Aplica,,"SVE _x000D_
AW0360",,
3,API ONPREMISE,Accounts,1910,Account - Accounts,account-accounts,Captaciones,Depósitos y cuentas especiales,Depósitos,ConsultaCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
4,API ONPREMISE,Accounts AWS,110,Account - Accounts AWS,account-accounts-aws,Captaciones,Depósitos y cuentas especiales,Depósitos,,"ALM_AW0955 _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 LoansOffer_NU0102001",,
5,API IBM Cloud ,Accounts,130,Account - Balances,account-balances,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,ConsultaSaldosCuentasDepositos/V1.0,"APP Cayman _x000D_
 Cayman_Soporte _x000D_
 TMP EDIN APP_AW1276001 _x000D_
 TEMP MAM_AW1204 _x000D_
 BC_Herramientas_Monitoreo _x000D_
 TMP1 johucorr_AW0360010 _x000D_
 APOLO_AW0360010 _x000D_
 App inversionesGB_AW1185001",,
6,API ONPREMISE,Accounts AWS,110,Account - Balances AWS,account-balances-aws,Captaciones,Depósitos y cuentas especiales,Depósitos,,"ALM_AW0955 _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 LoansOffer_NU0102001",,
7,API ONPREMISE,Accounts,1910,Account - Fund Transfers,account-fund-transfers,Captaciones,Depósitos y cuentas especiales,Depósitos,,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
8,API IBM Cloud ,Accounts,130,Account - Information,account-information,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,"APP Cayman _x000D_
 Cayman_Soporte _x000D_
 TMP EDIN APP_AW1276001 _x000D_
 TEMP MAM_AW1204 _x000D_
 BC_Herramientas_Monitoreo _x000D_
 TMP1 johucorr_AW0360010 _x000D_
 APOLO_AW0360010 _x000D_
 App inversionesGB_AW1185001",,
9,API ONPREMISE,Accounts,1910,Account - Management,account-management,Captaciones,Depósitos y cuentas especiales,Depósitos,GestionDeCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
10,API ONPREMISE,Accounts,1910,Account - Offers,account-offers,Captaciones,Depósitos y cuentas especiales,Depósitos,OfertaCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
