ID,Hora_de_transaccion,Herramienta_desarrollo,Plataforma_de_despliegue,Nombre_de_servicio,Estado_de_respuesta,Detalle_de_error,Causas,Nombre_de_operacion,Id_consumidor,Id_mensaje,Version,Año_de_ingestion,Mes_de_ingestion,Dia_de_ingestion
1,2025-05-31 01:53:59.702038000,CAMEL-QUARKUS,,SPR-Adapter-Camel,,,,,,,,2025.0,5.0,31.0
2,2025-05-31 01:53:59.704037000,CAMEL-QUARKUS,,SPR-Adapter-Camel,,,,,,,,2025.0,5.0,31.0
3,2025-05-31 01:54:03.982680000,CAMEL-QUARKUS,,SPR-Adapter-Camel,,,,,,,,2025.0,5.0,31.0
4,2025-05-31 01:54:03.984078000,CAMEL-QUARKUS,,SPR-Adapter-Camel,,,,,,,,2025.0,5.0,31.0
5,2025-05-31 01:47:46.704499000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,58a9b6b3-7cb0-4380-bb6b-8f3598c2662c,1.0,2025.0,5.0,31.0
6,2025-05-31 01:47:46.705892000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,getDocCifId,,58a9b6b3-7cb0-4380-bb6b-8f3598c2662c,1.0,2025.0,5.0,31.0
7,2025-05-31 01:47:47.045813000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,getDocCifId,,58a9b6b3-7cb0-4380-bb6b-8f3598c2662c,1.0,2025.0,5.0,31.0
8,2025-05-31 01:47:47.046459000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,custTDAInqDetail,,58a9b6b3-7cb0-4380-bb6b-8f3598c2662c,1.0,2025.0,5.0,31.0
9,2025-05-31 01:47:47.227685000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,custTDAInqDetail,,58a9b6b3-7cb0-4380-bb6b-8f3598c2662c,1.0,2025.0,5.0,31.0
10,2025-05-31 01:47:47.228356000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,58a9b6b3-7cb0-4380-bb6b-8f3598c2662c,1.0,2025.0,5.0,31.0
11,2025-05-31 01:47:48.379256000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,b5627202-0b19-45ab-964f-8f3598c2a9cf,1.0,2025.0,5.0,31.0
12,2025-05-31 01:47:57.086193000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,f98d0c9d-441f-4bab-9ae4-8f3598c27d83,1.0,2025.0,5.0,31.0
13,2025-05-31 01:47:57.087031000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,getDocCifId,,f98d0c9d-441f-4bab-9ae4-8f3598c27d83,1.0,2025.0,5.0,31.0
14,2025-05-31 01:47:57.396377000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,getDocCifId,,f98d0c9d-441f-4bab-9ae4-8f3598c27d83,1.0,2025.0,5.0,31.0
15,2025-05-31 01:47:57.397092000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,custTDAInqDetail,,f98d0c9d-441f-4bab-9ae4-8f3598c27d83,1.0,2025.0,5.0,31.0
16,2025-05-31 01:47:57.571583000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,custTDAInqDetail,,f98d0c9d-441f-4bab-9ae4-8f3598c27d83,1.0,2025.0,5.0,31.0
17,2025-05-31 01:47:57.572256000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,f98d0c9d-441f-4bab-9ae4-8f3598c27d83,1.0,2025.0,5.0,31.0
18,2025-05-31 01:48:22.453597000,CAMEL-QUARKUS,,SPR-Adapter-Camel,,,,,,,,2025.0,5.0,31.0
19,2025-05-31 01:48:22.452463000,CAMEL-QUARKUS,,SPR-Adapter-Camel,,,,,,,,2025.0,5.0,31.0
20,2025-05-31 01:50:00.121279000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,5bf2e894-a617-4be1-8ef1-d2442066d314,1.0,2025.0,5.0,31.0
21,2025-05-31 01:47:11.192946000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,getDocCifId,,a66e507d-0793-4fbe-be0a-8f3598c21f58,1.0,2025.0,5.0,31.0
22,2025-05-31 01:47:11.193747000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,custTDAInqDetail,,a66e507d-0793-4fbe-be0a-8f3598c21f58,1.0,2025.0,5.0,31.0
23,2025-05-31 01:47:11.368451000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,custTDAInqDetail,,a66e507d-0793-4fbe-be0a-8f3598c21f58,1.0,2025.0,5.0,31.0
24,2025-05-31 01:47:11.369255000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,,,,retrieve-detail-balances,,a66e507d-0793-4fbe-be0a-8f3598c21f58,1.0,2025.0,5.0,31.0
25,2025-05-31 01:47:13.023390000,Spring WebFlux - AWS,Nube,NU0525001_ConsultaSaldosPlazosFijos,500,"El cliente consultado no existe, por favor realice una nueva consulta",,retrieve-detail-balances,,ae73b50c-da1e-471d-b90e-8f3598c24099,1.0,2025.0,5.0,31.0
